minuto,minuto_extra,tipo,jugador,jugador_id,marcador_local,marcador_visitante
8,,Goal,Francisco Arancibia,517767.0,0,0
34,,Goal,Luis Urruti,494957.0,1,0
45,1.0,Card,Gustavo Dulanto,661777.0,1,1
45,,Half,,,1,1
59,,Goal,Luciano Nequecaur,492610.0,1,1
62,0.0,Substitution,,,1,2
65,,Card,Jostin Alarcón,1254284.0,1,2
72,0.0,Substitution,,,1,2
72,0.0,Substitution,,,1,2
73,0.0,Substitution,,,1,2
73,0.0,Substitution,,,1,2
85,0.0,Substitution,,,1,2
85,0.0,Substitution,,,1,2
89,,Goal,Beto da Silva,497518.0,1,2
90,1.0,Goal,Beto da Silva,497518.0,2,2
90,4.0,Card,Carlos Liza,1053398.0,3,2
90,5.0,Substitution,,,3,2
90,5.0,Substitution,,,3,2
90,6.0,Card,Agustín Gómez,873967.0,3,2
90,8.0,Card,Renzo Alfani,813622.0,3,2
90,,Half,,,3,2
