equipo,lado,jugador,id,dorsal,posicion_id,titular,rating,layout_x,layout_y
Deportivo Garcilaso,local,Patrick Zubczuk,1249298,1,11,True,,0.1,0.5
Deportivo Garcilaso,local,Erick Canales,1386691,55,32,True,,0.292,0.875
Deportivo Garcilaso,local,Agustín Gómez,873967,19,34,True,,0.292,0.625
Deportivo Garcilaso,local,Horacio Benincasa,461733,13,36,True,,0.292,0.375
Deportivo Garcilaso,local,Orlando Núñez,1130782,16,38,True,,0.292,0.125
Deportivo Garcilaso,local,Xavi Moreno,1432958,23,64,True,,0.485,0.7
Deportivo Garcilaso,local,Carlos Ramos,1023077,18,66,True,,0.485,0.3
Deportivo Garcilaso,local,Beto da Silva,497518,30,83,True,,0.678,0.837
Deportivo Garcilaso,local,Agustín González,851031,8,85,True,,0.678,0.5
Deportivo Garcilaso,local,Francisco Arancibia,517767,11,87,True,,0.678,0.163
Deportivo Garcilaso,local,Christopher Olivares,872414,24,115,True,,0.87,0.5
Deportivo Garcilaso,local,Adrián Ascues,1334883,27,,False,,,
Deportivo Garcilaso,local,Kevin Sandoval,933754,10,,False,,,
Deportivo Garcilaso,local,Agustín Graneros,1118167,29,,False,,,
Deportivo Garcilaso,local,José Sinisterra,968023,7,,False,,,
Deportivo Garcilaso,local,Juniors Barbieri,924013,31,,False,,,
Deportivo Garcilaso,local,Aldair Salazar,547746,2,,False,,,
Deportivo Garcilaso,local,Samir Villacorta,1626897,33,,False,,,
Deportivo Garcilaso,local,Claudio Torrejón,254031,14,,False,,,
Deportivo Garcilaso,local,Inti Garrafa,1715199,6,,False,,,
Sport Boys,visitante,Diego Melián,1366174,22,11,True,,0.1,0.5
Sport Boys,visitante,Renzo Alfani,813622,4,32,True,,0.292,0.875
Sport Boys,visitante,Hansell Riojas,253799,26,34,True,,0.292,0.625
Sport Boys,visitante,Gustavo Dulanto,661777,55,36,True,,0.292,0.375
Sport Boys,visitante,Mathías Llontop,1437868,13,38,True,,0.292,0.125
Sport Boys,visitante,Oslimg Mora,1048042,24,64,True,,0.485,0.7
Sport Boys,visitante,Federico Illanes,616536,5,66,True,,0.485,0.3
Sport Boys,visitante,Carlos López,935757,7,83,True,,0.678,0.837
Sport Boys,visitante,Luis Urruti,494957,11,85,True,,0.678,0.5
Sport Boys,visitante,Jostin Alarcón,1254284,10,87,True,,0.678,0.163
Sport Boys,visitante,Luciano Nequecaur,492610,9,115,True,,0.87,0.5
Sport Boys,visitante,Juan Gonzáles,1607382,23,,False,,,
Sport Boys,visitante,Rolando Díaz,1339290,14,,False,,,
Sport Boys,visitante,Carlos Liza,1053398,30,,False,,,
Sport Boys,visitante,Alexis Huamán,1502876,21,,False,,,
Sport Boys,visitante,Juan Torres,1433071,80,,False,,,
Sport Boys,visitante,Steven Rivadeneyra,547744,1,,False,,,
Sport Boys,visitante,Nilson Loyola,547838,29,,False,,,
Sport Boys,visitante,Sebastián Alvarado,1671046,35,,False,,,
Sport Boys,visitante,André Vásquez,1432954,20,,False,,,
