player_id,jugador,equipo,dorsal,posicion_id,es_portero,FotMob rating,Minutes played,Goals,Assists,Accurate passes,Chances created,Shotmap,Defensive actions,Touches,Touches in opposition box,Accurate long balls,Dispossessed,Tackles,Blocks,Clearances,Headed clearance,Interceptions,Recoveries,Dribbled past,Ground duels won,Aerial duels won,Was fouled,Fouls committed,Duels won,Duels lost,Passes into final third,Accurate crosses,Shots on target,Shots off target,Shot accuracy,Successful dribbles,Offsides,Big chances created,Blocked shots,Corners,Saves,Goals conceded,Diving save,Saves inside box,Acted as sweeper,Punches,Throws,High claim
253799,Hansell Riojas,Sport Boys,26,34,False,5.77,90.0,0.0,0.0,26.0,0.0,0.0,10.0,49.0,0.0,1.0,0.0,0.0,3.0,5.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,
254031,Claudio Torrejón,Deportivo Garcilaso,14,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461733,Horacio Benincasa,Deportivo Garcilaso,13,36,False,7.13,90.0,0.0,0.0,51.0,1.0,0.0,5.0,63.0,0.0,2.0,0.0,2.0,0.0,1.0,,2.0,4.0,0.0,2.0,2.0,,0.0,4.0,1.0,8.0,0.0,,,,,,,,,,,,,,,,
492610,Luciano Nequecaur,Sport Boys,9,115,False,7.39,85.0,1.0,0.0,9.0,0.0,1.0,1.0,26.0,2.0,,0.0,0.0,1.0,0.0,,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,,1.0,0.0,1.0,1.0,,,,,,,,,,,,
494957,Luis Urruti,Sport Boys,11,85,False,7.71,89.0,1.0,0.0,13.0,1.0,1.0,0.0,31.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,4.0,1.0,5.0,1.0,3.0,0.0,6.0,5.0,7.0,,1.0,0.0,1.0,2.0,,,,,,,,,,,,
497518,Beto da Silva,Deportivo Garcilaso,30,83,False,9.32,90.0,2.0,1.0,35.0,2.0,1.0,1.0,60.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,1.0,2.0,0.0,5.0,6.0,6.0,,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,
517767,Francisco Arancibia,Deportivo Garcilaso,11,87,False,7.75,73.0,1.0,0.0,7.0,2.0,1.0,0.0,25.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,5.0,,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
547744,Steven Rivadeneyra,Sport Boys,1,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547746,Aldair Salazar,Deportivo Garcilaso,2,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547838,Nilson Loyola,Sport Boys,29,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616536,Federico Illanes,Sport Boys,5,66,False,5.95,90.0,0.0,0.0,17.0,0.0,0.0,7.0,32.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,,4.0,4.0,5.0,5.0,,,,,,,,,,,,,,,,,
